id,story_id,parent_id,title,type,order_index,view,number_of_children,updated_at,created_at,plain_text,search_vector,is_deleted,poster_id
000482b9-9a9e-45dd-a4c8-6e9facb06842,94f80b5e-5f96-4a53-a4f9-7613a58cdf16,,,volume,6,0,33,2026-03-19 12:43:59.168,2026-03-19 12:43:59.168,,,false,
000bd143-ed9d-41cb-a601-46dbaa0d4795,f5c6ed2d-da8a-4037-b883-6a2a2956c840,,,chapter,4,0,0,2026-03-19 12:43:47.099,2026-03-19 12:43:47.099,,,false,
001210e3-14c1-4f77-bff6-ed11dbc96dc9,a765dc53-3f13-4f00-a19b-aa2cb581c9dd,125e398e-2559-43d7-bd43-9855cc3af7ea,,chapter,41,0,0,2026-03-07 15:51:21.112,2026-03-07 15:51:21.112,,,false,
001458d5-3a79-49e0-809c-a240dfc0a7f7,5fc9a5b6-e624-46f0-a9bc-df01537b4907,,,chapter,113,0,0,2026-03-07 12:15:11.246,2026-03-07 12:15:11.246,,,false,
0034fe0e-0637-4d33-9a1a-8fd21c341990,5fc9a5b6-e624-46f0-a9bc-df01537b4907,,,chapter,39,0,0,2026-03-07 14:34:40.849,2026-03-07 14:34:40.849,,,false,
0037c860-84c8-4c15-9668-3704c73849f6,2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,1fdb1b80-f1bc-4f2b-8155-7a3501b43bee,,chapter,1,0,0,2026-03-19 12:43:58.577,2026-03-19 12:43:58.577,,,false,
00394483-ff2e-4893-9419-1905f2cb5f4a,cc5930ee-7acc-45ec-96f2-018391937c2f,ecbed3b3-277a-4ff1-bf9a-28c2c439da43,,chapter,1,0,0,2026-03-19 12:43:25.318,2026-03-19 12:43:25.318,,,false,
00396c7a-1173-4206-a499-a3e349c28707,9e08eefc-95d5-4aad-86a2-9d076ec242df,,,chapter,34,0,0,2026-03-19 12:43:53.577,2026-03-19 12:43:53.577,,,false,
00399fcd-25cf-4d03-b18a-f0cedbde7d1a,d360163c-e13f-4ad5-87ce-833fdc02bc64,,,chapter,37,0,0,2026-03-19 12:43:38.637,2026-03-19 12:43:38.637,,,false,
003a3738-4d62-4753-8c1f-129d7fa4a8b8,a765dc53-3f13-4f00-a19b-aa2cb581c9dd,125e398e-2559-43d7-bd43-9855cc3af7ea,,chapter,112,0,0,2026-03-07 13:18:19.569,2026-03-07 13:18:19.569,,,false,
003c0aef-d1b6-4d49-a3f0-e5c3b684ac33,5b1d1981-e09c-48c6-b86e-881db286ed49,f53d369d-4f42-459e-bc40-bc6d3a0b1ed6,,chapter,21,0,0,2026-03-19 12:43:33.188,2026-03-19 12:43:33.188,,,false,
0042c072-6554-4f6a-ab1e-64f97341f9d5,fd6ac307-0703-4168-8e6b-755812f44bae,,,chapter,132,0,0,2026-03-07 12:34:01.455,2026-03-07 12:34:01.455,,,false,
004e5f6e-3c11-4a2c-bf41-540f95bb1a0c,f0b34e5c-dfc9-4bdc-97fd-27c2cfcc2c40,,,chapter,30,0,0,2026-03-19 12:43:23.666,2026-03-19 12:43:23.666,,,false,
004eb6a1-a539-424f-ade8-e6926490e604,97c62c08-9bb7-4cbf-a2a2-4e72069c5dbf,d9ed802a-b01a-4988-854b-399920c7ebed,,chapter,15,0,0,2026-03-19 12:43:49.397,2026-03-19 12:43:49.397,,,false,
00554d37-2467-47f2-aeb5-0818e17126e0,a765dc53-3f13-4f00-a19b-aa2cb581c9dd,125e398e-2559-43d7-bd43-9855cc3af7ea,,chapter,78,0,0,2026-03-07 15:57:47.216,2026-03-07 15:57:47.216,,,false,
005553fb-cf9c-416e-8c70-13ab155a625e,50a5c422-6a50-4eb6-b173-111ffffc3d41,,,chapter,214,0,0,2026-03-07 14:16:26.594,2026-03-07 14:16:26.594,,,false,
0057ac63-1c22-4a73-8b08-76374a7e18f4,7f6756e8-5415-42a4-a034-46588b1fa5d2,,,chapter,32,0,0,2026-03-19 12:43:32.584,2026-03-19 12:43:32.584,,,false,
005a80d9-88a2-444c-99dc-dd4d1153e2a4,e47e520d-a854-4f84-a3c5-5d24beb3e223,6e06c247-edbc-4a6c-9b2c-259b0ce212a1,,chapter,37,0,0,2026-03-19 12:43:34.165,2026-03-19 12:43:34.165,,,false,
005bf8ae-f2ce-4d62-8d91-d8284e03a891,2f89d36b-3759-4815-9b8c-3c7b23dc6ffa,,,volume,4,0,8,2026-03-19 12:43:56.585,2026-03-19 12:43:56.585,,,false,
006210b9-fa74-4cc2-959b-401a49da3e99,9a20020d-7bea-4fe6-8c9a-40712bf9e882,,,chapter,55,0,0,2026-03-07 13:09:59.413,2026-03-07 13:09:59.413,,,false,
0062a421-9fe2-41d0-911a-30d82d0f1a18,e10dbaca-5e1c-48c4-8744-c8f5b05133fc,,,chapter,14,0,0,2026-03-19 12:43:18.485,2026-03-19 12:43:18.485,,,false,
007c99e8-b349-485e-9e56-19f583d74195,f0b34e5c-dfc9-4bdc-97fd-27c2cfcc2c40,,,chapter,91,0,0,2026-03-19 12:43:23.666,2026-03-19 12:43:23.666,,,false,
00955036-76a9-4578-b9c2-4101b308286b,40ff66e8-cc63-4ea2-a406-9d83513b6d3c,79a818e2-02cd-4a23-b902-f1b26cb62923,,chapter,29,0,0,2026-03-19 12:43:55.208,2026-03-19 12:43:55.208,,,false,
009b9b7a-b665-4190-bfe1-64507934df73,fd6ac307-0703-4168-8e6b-755812f44bae,,,chapter,305,0,0,2026-03-07 14:56:18.53,2026-03-07 14:56:18.53,,,false,
00a1be69-2629-4652-bcc2-60affd39f52c,f5c6ed2d-da8a-4037-b883-6a2a2956c840,,,chapter,62,0,0,2026-03-19 12:43:47.099,2026-03-19 12:43:47.099,,,false,
00b64dca-da08-431f-8b9a-2460c7375d91,50a5c422-6a50-4eb6-b173-111ffffc3d41,,,chapter,465,0,0,2026-03-07 16:00:52.617,2026-03-07 16:00:52.617,,,false,
00b72009-70e9-4874-a73f-241aed419278,a2f98200-3791-483a-bc8b-b6794c2ddd99,,,chapter,9,0,0,2026-03-19 12:43:34.912,2026-03-19 12:43:34.912,,,false,
00c09197-1737-4161-a0a8-9a5b0a00cfc0,40ff66e8-cc63-4ea2-a406-9d83513b6d3c,e45065cc-a400-4cfe-b90e-f299c236110c,,chapter,6,0,0,2026-03-19 12:43:53.979,2026-03-19 12:43:53.979,,,false,
