id,story_node_id,type,order_index,content,image_id,is_deleted,created_at
00006016-3ebb-4d54-8829-d17f9e3d893e,f1f3b5b3-6805-4593-b546-fcb61baa632b,image,4,,ef404305-b0f6-4dc3-8270-2ee80bb00e46,false,2026-03-07 13:04:41.928
00007796-6437-45a0-bfb8-8ccea4e60a04,099ddb61-f9dc-4c57-a26c-29ab1e568b02,image,7,,167de472-950a-436e-a378-afdfac77ca5a,false,2026-03-07 12:37:22.203
0002bb97-ca85-47ea-9937-70718b3e8933,a237200a-63b3-4747-960d-f6831156cd64,image,4,,0ae8d785-beb7-41e0-80b1-e4f7be2797e4,false,2026-03-07 13:49:54.994
0005dce4-9406-4791-9702-12fb531dc1f9,f86b89e1-5348-43b8-8b5a-07a4f75125bd,image,8,,c7f0d94d-9660-4bf8-9638-33189efca611,false,2026-03-07 14:54:38.136
00067c19-cd86-4cc1-8c18-9508419b3a7a,14e2072f-99d9-4fd0-9da7-d149f6ca1049,image,38,,af8c86af-8429-4626-ab96-af7e75ed5d59,false,2026-03-07 13:23:55.086
000a6164-e749-4f19-8807-5d4dcd474010,e37e663d-9439-4859-a120-8229276dbf6d,image,2,,f554eacc-b880-4456-a7f9-2f8cedf1f20b,false,2026-03-07 14:01:15.2
000a7a34-9741-4225-97bc-0d53a0905603,a54800e0-1ef2-48e3-9263-c948ba77c917,image,11,,fdf9e2de-9c6a-43fc-a601-0d43426029aa,false,2026-03-07 12:28:03.409
000b00cc-90d6-4ce7-a20a-feb48b7f42ba,3398a0de-f3d0-4812-a761-c7c7e3bbaacb,image,21,,4cd8e9e9-ab44-4bf6-ac33-720c979c0033,false,2026-03-07 13:39:37.596
000d9cce-c62a-4458-98d9-42c8289b78bf,1706f16a-037f-4651-a980-b642afb98cc6,image,4,,307bf763-cccf-4e89-a556-995a91748ba1,false,2026-03-07 13:27:43.364
000df8a9-91d4-4036-aed5-9e478b308ad0,24191d30-5bc7-4a9c-beb6-0a3fd18da2d0,image,11,,e47142c2-ee42-47cf-8374-ab410a837771,false,2026-03-07 12:42:16.215
000e3fb9-8ed3-4ef6-9cf9-ca6f653e091f,7e2d9b0b-9655-4abe-996e-285140b75f52,image,0,,7c9872a9-677e-4edc-8740-ee486923661b,false,2026-03-07 15:33:30.823
