story_id,genre
01c76789-d136-4a0b-abdc-df61a94178e1,drama
01c76789-d136-4a0b-abdc-df61a94178e1,fiction
01c76789-d136-4a0b-abdc-df61a94178e1,historical
01c76789-d136-4a0b-abdc-df61a94178e1,historical_fiction
01c76789-d136-4a0b-abdc-df61a94178e1,low_fantasy
01c76789-d136-4a0b-abdc-df61a94178e1,mecha
01c76789-d136-4a0b-abdc-df61a94178e1,romance
01c76789-d136-4a0b-abdc-df61a94178e1,shonen
01c76789-d136-4a0b-abdc-df61a94178e1,sport
01c76789-d136-4a0b-abdc-df61a94178e1,survival
01c76789-d136-4a0b-abdc-df61a94178e1,yaoi
024faef5-c3b0-46c5-bd3a-c7b3b3864401,fairy_tale
024faef5-c3b0-46c5-bd3a-c7b3b3864401,fiction
024faef5-c3b0-46c5-bd3a-c7b3b3864401,high_fantasy
024faef5-c3b0-46c5-bd3a-c7b3b3864401,literary_fiction
024faef5-c3b0-46c5-bd3a-c7b3b3864401,mystery
024faef5-c3b0-46c5-bd3a-c7b3b3864401,romance
024faef5-c3b0-46c5-bd3a-c7b3b3864401,seinen
0420d5b4-b234-4099-986a-dd4f63799dc5,drama
0420d5b4-b234-4099-986a-dd4f63799dc5,ecchi
0420d5b4-b234-4099-986a-dd4f63799dc5,isekai
0420d5b4-b234-4099-986a-dd4f63799dc5,mystery
0420d5b4-b234-4099-986a-dd4f63799dc5,steampunk
06256294-2ea7-4323-ac84-7dd485e22a9d,harem
06256294-2ea7-4323-ac84-7dd485e22a9d,historical
06256294-2ea7-4323-ac84-7dd485e22a9d,science_fiction
06256294-2ea7-4323-ac84-7dd485e22a9d,shonen
06256294-2ea7-4323-ac84-7dd485e22a9d,slice_of_life
08c0835d-4974-45b8-a838-da1e3955b1d8,high_fantasy
08c0835d-4974-45b8-a838-da1e3955b1d8,post_apocalyptic
0bf0d05e-784c-4462-ac0e-7962043913f7,comedy
0bf0d05e-784c-4462-ac0e-7962043913f7,ecchi
0bf0d05e-784c-4462-ac0e-7962043913f7,romance
0bf0d05e-784c-4462-ac0e-7962043913f7,steampunk
0bf0d05e-784c-4462-ac0e-7962043913f7,thriller
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,comedy
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,ecchi
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,fiction
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,gothic_fiction
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,harem
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,historical_fiction
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,sport
100bc9c3-1b84-466b-8eb6-f13ac12b5cae,survival
11d88077-5234-4c24-bb06-63168e1db903,comedy
11d88077-5234-4c24-bb06-63168e1db903,mystery
11d88077-5234-4c24-bb06-63168e1db903,shonen
11d88077-5234-4c24-bb06-63168e1db903,shoujo_ai
11d88077-5234-4c24-bb06-63168e1db903,shounen_ai
11d88077-5234-4c24-bb06-63168e1db903,tragedy
15f15e90-94eb-4e27-8d73-e917ea9bcf0c,crime
15f15e90-94eb-4e27-8d73-e917ea9bcf0c,horror
15f15e90-94eb-4e27-8d73-e917ea9bcf0c,low_fantasy
15f15e90-94eb-4e27-8d73-e917ea9bcf0c,slice_of_life
18855575-19a5-47e6-8f35-279e1e91c0b1,harem
18855575-19a5-47e6-8f35-279e1e91c0b1,martial_arts
18855575-19a5-47e6-8f35-279e1e91c0b1,seinen
18855575-19a5-47e6-8f35-279e1e91c0b1,shojo
21d42db8-5e86-449e-88be-81726959cdd3,dark_fantasy
21d42db8-5e86-449e-88be-81726959cdd3,gekiga
21d42db8-5e86-449e-88be-81726959cdd3,slice_of_life
21d42db8-5e86-449e-88be-81726959cdd3,space_opera
21d42db8-5e86-449e-88be-81726959cdd3,supernatural
21d42db8-5e86-449e-88be-81726959cdd3,thriller
21d42db8-5e86-449e-88be-81726959cdd3,yuri
231ab456-af04-4f6a-ab5a-8b0f7007df32,fiction
231ab456-af04-4f6a-ab5a-8b0f7007df32,gothic_fiction
231ab456-af04-4f6a-ab5a-8b0f7007df32,isekai
231ab456-af04-4f6a-ab5a-8b0f7007df32,yuri
290be232-f3b9-4e58-bfee-47d6041b157f,crime
290be232-f3b9-4e58-bfee-47d6041b157f,gekiga
290be232-f3b9-4e58-bfee-47d6041b157f,romance
290be232-f3b9-4e58-bfee-47d6041b157f,shounen_ai
290be232-f3b9-4e58-bfee-47d6041b157f,space_opera
290be232-f3b9-4e58-bfee-47d6041b157f,yuri
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,drama
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,fiction
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,harem
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,mecha
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,mystery
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,steampunk
2aa7c9c0-480a-4e1b-bd3c-84a8e570d389,tragedy
2abfc4ed-0a95-4d19-bafb-bec4139cc513,action
2abfc4ed-0a95-4d19-bafb-bec4139cc513,dystopian_fiction
2abfc4ed-0a95-4d19-bafb-bec4139cc513,historical
2abfc4ed-0a95-4d19-bafb-bec4139cc513,low_fantasy
2abfc4ed-0a95-4d19-bafb-bec4139cc513,shoujo_ai
2b9f70ad-202c-49eb-bd23-ada786d02699,fiction
2b9f70ad-202c-49eb-bd23-ada786d02699,isekai
2b9f70ad-202c-49eb-bd23-ada786d02699,literary_fiction
2b9f70ad-202c-49eb-bd23-ada786d02699,shounen_ai
2b9f70ad-202c-49eb-bd23-ada786d02699,supernatural
2c4854c8-9301-479c-b910-7c4d271447cc,gekiga
2c4854c8-9301-479c-b910-7c4d271447cc,harem
2c4854c8-9301-479c-b910-7c4d271447cc,slice_of_life
2f89d36b-3759-4815-9b8c-3c7b23dc6ffa,gothic_fiction
2f89d36b-3759-4815-9b8c-3c7b23dc6ffa,josei
2f89d36b-3759-4815-9b8c-3c7b23dc6ffa,seinen
2f89d36b-3759-4815-9b8c-3c7b23dc6ffa,survival
