id,story_node_id,type,order_index,content,image_id
0001d621-46f4-4f09-9460-48cb11da1d2c,ce117298-4993-4d0c-810c-f30adf2ccd96,image,20,,00b24fff-9e41-4267-9acc-ff189bf20790
0002bf9a-e4d7-41d1-8b3f-600b8d6cb7e3,8f5f170b-1505-452a-bbf9-5c42a20c558a,image,14,,3a2ad08b-e452-472e-a2ea-13ce3d4fe346
0006ee50-21d7-45df-afa0-49f32ce5759a,4b88fc05-8f32-4194-b8f8-57bc4005bdc4,image,9,,05c5d8f0-8311-4996-875d-e5cd75ab97c3
00070150-3d2a-47a5-9187-73bd5d3492b9,ca9b32dd-fb0d-4486-9147-630f5037ad81,image,9,,ee324bb0-6b35-4e91-a2b2-190c20f53a85
00086a14-f896-4a0e-a257-f90e28ec2b7d,4f6699d7-643f-424c-9ff1-4ef651783a09,image,13,,f2888c87-b038-4b9a-9cae-643b9d2da267
000a691f-a9ed-45ab-a4a7-e3c42dd5c95b,254713cc-a16e-4748-82cf-1363c14627ea,image,5,,3f326b28-7e16-432f-8a26-5e315fc6c0b8
000a7d64-2e6f-4dd0-a501-d7c2aa23765b,aa6ac6da-50c4-42b3-ba58-5685567ada4a,image,11,,28715a47-929e-4e1d-aa5b-9cdfa89c7006
000d1685-495b-4da9-bd14-f6d7baf9c372,fd740e48-7539-4d22-baf6-ca6b0bb80801,image,0,,7c074a96-4959-4a40-987b-9e880ccdca05
000d317c-c872-4607-a534-d86c08c67d83,474f0d5f-6274-47b0-b58d-9682d2cf51f4,image,11,,aaee9084-4fb9-47e8-a2c8-7afeb2107c1c
0012f4f2-3af5-475e-96bb-69b73f2471a4,a6182608-9704-4906-8b41-188ee06ffe95,image,17,,c5e984a9-34c8-416d-b12f-3cae683ceaee
00159732-e00b-4711-8346-404ce1a21017,23b7516c-6d34-42a8-b278-ee28026a4dfd,image,2,,6db7f473-8312-40f3-981f-ad64f6dde69a
00167881-ce4e-4062-a4d9-e9a572f72369,c587b3c1-ff62-4762-9ba7-e26ce50930d0,image,18,,0849b53c-9ae8-44b9-a113-39a9fbdcb262
001865b5-4d17-476e-8193-20826746f512,8688db35-2375-4c3b-8e6f-c0f174bcc130,image,4,,6689e698-555d-4b2c-97dd-c0d9855865bb
00191ff4-835f-4fb8-9d78-15ee632d499c,8cd19102-b518-4fbf-87b5-501a73f790b8,image,12,,a66c0f1c-9c10-4b70-86ab-ad526a8c680b
0019bef4-589e-4081-9257-02343a23d5ee,77b182ae-4127-4879-b6c4-4a70e984b905,image,24,,c1a2fb4f-e242-429e-bca9-92aeefa3730a
0019f37c-1119-45aa-9589-aea081da754e,527e8e61-18af-4b14-a372-afd43b1095b7,image,0,,117b0c5b-399a-45ef-95e5-140df4cd2272
001a1f16-9d6b-4f49-944e-ca2213c17532,6f60181b-b904-4b15-9e8c-76ee0cb9124c,image,13,,d84a6ee2-3c83-4da3-9d9f-f2264c6eaa88
001d0b86-e3a3-457a-9503-6b511ca0a368,7039aa32-4951-4a90-9b35-65355438bf5d,image,8,,e4ab34d1-589a-4340-a035-a6a73e62a487
001fbc4a-1974-469f-b4b2-758fb197a18d,3a17f9ba-7449-454c-99d0-d87d4952d281,image,14,,8a124f60-58fa-43b7-b9eb-fef248af9281
00207378-870a-4d67-8cef-fdd0f520fd33,efdf7766-320d-4531-8250-8d678547cea1,image,44,,48d04c3d-97ae-4c7f-b744-6d17643ee1a4
00229af7-4490-43fa-b668-604e1466fe99,7fdd9d4f-78e8-4868-8b4f-cae9628c7001,image,4,,5a3e6753-abac-45fc-a76a-84f408700853
0022a133-4521-479a-b8a3-2a82db005fca,d2f4dc12-bc63-4e31-aaab-192d54b6b0d4,image,23,,72f7c130-e950-4d4a-8135-b4013bfddefd
00235d93-c83c-4742-961e-308a91014c5f,7506b3a4-fbe5-4263-9b27-3fe965034636,image,9,,b2af991c-ee4c-40ff-a7d3-ad8c832f9f79
00248a6b-cd06-41c1-8b3b-e208795766bc,9b6fecc6-f5f0-465c-9edc-67be834c266b,image,28,,0d425680-a748-4104-ac41-3e14d3b6d690
00250107-8cb6-4499-be53-dcc30c035aa0,d616df2a-b6ad-4aeb-aa6f-6e54edb4a0db,image,8,,66ddc845-283a-4eed-b848-6e1b1685f15b
00251855-40c3-4dd9-839d-4603cf1818f2,82489b60-1c7e-4b9a-bda5-6b718577d60d,image,10,,8764291c-bef6-4e96-a7b5-9e3d871ecd4b
00284846-08c8-422c-92da-586704cf3c14,c4fbb8b0-ddd1-499b-8cf8-63cdc9cdb2c0,image,9,,871d3719-675b-4637-9e48-f12cfdfc6005
00296ac8-9ecf-42ff-9c6b-abff9b99bf74,0ea56056-1484-481b-989d-40d1ebd96386,image,57,,d19daa88-6bc5-4aa3-aa36-00a756aad9b7
